series_id,area_name
LAUCN090010000000003,Fairfield County
LAUCN090030000000003,Hartford County
LAUCN090050000000003,Litchfield County
LAUCN090070000000003,Middlesex County
LAUCN090090000000003,New Haven County
LAUCN090110000000003,New London County
LAUCN090130000000003,Tolland County
LAUCN090150000000003,Windham County
LAUCN150050000000003,Kalawao County
LAUCN551050000000003,Rock County
LAUCN551070000000003,Rusk County
LAUCN551090000000003,St. Croix County
LAUCN551110000000003,Sauk County
LAUCN551130000000003,Sawyer County
LAUCN551150000000003,Shawano County
LAUCN551170000000003,Sheboygan County
LAUCN551190000000003,Taylor County
LAUCN551210000000003,Trempealeau County
LAUCN551230000000003,Vernon County
LAUCN551250000000003,Vilas County
LAUCN551270000000003,Walworth County
LAUCN551290000000003,Washburn County
LAUCN551310000000003,Washington County
LAUCN551330000000003,Waukesha County
LAUCN551350000000003,Waupaca County
LAUCN551370000000003,Waushara County
LAUCN551390000000003,Winnebago County
LAUCN551410000000003,Wood County
LAUCN560010000000003,Albany County
LAUCN560030000000003,Big Horn County
LAUCN560050000000003,Campbell County
LAUCN560070000000003,Carbon County
LAUCN560090000000003,Converse County
LAUCN560110000000003,Crook County
LAUCN560130000000003,Fremont County
LAUCN560150000000003,Goshen County
LAUCN560170000000003,Hot Springs County
LAUCN560190000000003,Johnson County
LAUCN560210000000003,Laramie County
LAUCN560230000000003,Lincoln County
LAUCN560250000000003,Natrona County
LAUCN560270000000003,Niobrara County
LAUCN560290000000003,Park County
LAUCN560310000000003,Platte County
LAUCN560330000000003,Sheridan County
LAUCN560350000000003,Sublette County
LAUCN560370000000003,Sweetwater County
LAUCN560390000000003,Teton County
LAUCN560410000000003,Uinta County
LAUCN560430000000003,Washakie County
LAUCN560450000000003,Weston County
LAUCN720010000000003,Adjuntas Municipio
LAUCN720030000000003,Aguada Municipio
LAUCN720050000000003,Aguadilla Municipio
LAUCN720070000000003,Aguas Buenas Municipio
LAUCN720090000000003,Aibonito Municipio
LAUCN720110000000003,Añasco Municipio
LAUCN720130000000003,Arecibo Municipio
LAUCN720150000000003,Arroyo Municipio
LAUCN720170000000003,Barceloneta Municipio
LAUCN720190000000003,Barranquitas Municipio
LAUCN720210000000003,Bayamón Municipio
LAUCN720230000000003,Cabo Rojo Municipio
LAUCN720250000000003,Caguas Municipio
LAUCN720270000000003,Camuy Municipio
LAUCN720290000000003,Canóvanas Municipio
LAUCN720310000000003,Carolina Municipio
LAUCN720330000000003,Cataño Municipio
LAUCN720350000000003,Cayey Municipio
LAUCN720370000000003,Ceiba Municipio
LAUCN720390000000003,Ciales Municipio
LAUCN720410000000003,Cidra Municipio
LAUCN720430000000003,Coamo Municipio
LAUCN720450000000003,Comerío Municipio
LAUCN720470000000003,Corozal Municipio
LAUCN720490000000003,Culebra Municipio
LAUCN720510000000003,Dorado Municipio
LAUCN720530000000003,Fajardo Municipio
LAUCN720540000000003,Florida Municipio
LAUCN720550000000003,Guánica Municipio
LAUCN720570000000003,Guayama Municipio
LAUCN720590000000003,Guayanilla Municipio
LAUCN720610000000003,Guaynabo Municipio
LAUCN720630000000003,Gurabo Municipio
LAUCN720650000000003,Hatillo Municipio
LAUCN720670000000003,Hormigueros Municipio
LAUCN720690000000003,Humacao Municipio
LAUCN720710000000003,Isabela Municipio
LAUCN720730000000003,Jayuya Municipio
LAUCN720750000000003,Juana Díaz Municipio
LAUCN720770000000003,Juncos Municipio
LAUCN720790000000003,Lajas Municipio
LAUCN720810000000003,Lares Municipio
LAUCN720830000000003,Las Marías Municipio
LAUCN720850000000003,Las Piedras Municipio
LAUCN720870000000003,Loíza Municipio
LAUCN720890000000003,Luquillo Municipio
LAUCN720910000000003,Manatí Municipio
LAUCN720930000000003,Maricao Municipio
LAUCN720950000000003,Maunabo Municipio
LAUCN720970000000003,Mayagüez Municipio
LAUCN720990000000003,Moca Municipio
LAUCN721010000000003,Morovis Municipio
LAUCN721030000000003,Naguabo Municipio
LAUCN721050000000003,Naranjito Municipio
LAUCN721070000000003,Orocovis Municipio
LAUCN721090000000003,Patillas Municipio
LAUCN721110000000003,Peñuelas Municipio
LAUCN721130000000003,Ponce Municipio
LAUCN721150000000003,Quebradillas Municipio
LAUCN721170000000003,Rincón Municipio
LAUCN721190000000003,Río Grande Municipio
LAUCN721210000000003,Sabana Grande Municipio
LAUCN721230000000003,Salinas Municipio
LAUCN721250000000003,San Germán Municipio
LAUCN721270000000003,San Juan Municipio
LAUCN721290000000003,San Lorenzo Municipio
LAUCN721310000000003,San Sebastián Municipio
LAUCN721330000000003,Santa Isabel Municipio
LAUCN721350000000003,Toa Alta Municipio
LAUCN721370000000003,Toa Baja Municipio
LAUCN721390000000003,Trujillo Alto Municipio
LAUCN721410000000003,Utuado Municipio
LAUCN721430000000003,Vega Alta Municipio
LAUCN721450000000003,Vega Baja Municipio
LAUCN721470000000003,Vieques Municipio
LAUCN721490000000003,Villalba Municipio
LAUCN721510000000003,Yabucoa Municipio
LAUCN721530000000003,Yauco Municipio
