series_id,date,unemployment_rate
LAUCN090010000000003,2013-01,0.0
LAUCN560150000000003,2013-01,4.9
LAUCN560170000000003,2013-01,6.0
LAUCN560190000000003,2013-01,6.4
LAUCN560210000000003,2013-01,6.4
LAUCN560230000000003,2013-01,7.9
LAUCN560250000000003,2013-01,5.5
LAUCN560270000000003,2013-01,4.3
LAUCN560290000000003,2013-01,7.1
LAUCN560310000000003,2013-01,5.8
LAUCN560330000000003,2013-01,7.5
LAUCN560350000000003,2013-01,6.5
LAUCN560370000000003,2013-01,5.4
LAUCN560390000000003,2013-01,6.7
LAUCN560130000000003,2013-01,7.3
LAUCN560410000000003,2013-01,6.5
LAUCN560450000000003,2013-01,4.9
LAUCN720010000000003,2013-01,24.6
LAUCN720030000000003,2013-01,19.8
LAUCN720050000000003,2013-01,18.9
LAUCN720070000000003,2013-01,18.3
LAUCN720090000000003,2013-01,18.0
LAUCN720110000000003,2013-01,19.4
LAUCN720130000000003,2013-01,16.4
LAUCN720150000000003,2013-01,23.7
LAUCN720170000000003,2013-01,19.2
LAUCN720190000000003,2013-01,16.1
LAUCN720210000000003,2013-01,10.8
LAUCN720230000000003,2013-01,20.7
LAUCN560430000000003,2013-01,6.8
LAUCN720250000000003,2013-01,13.2
LAUCN560110000000003,2013-01,6.3
LAUCN560070000000003,2013-01,6.0
LAUCN090070000000003,2013-01,0.0
LAUCN090090000000003,2013-01,0.0
LAUCN090110000000003,2013-01,0.0
LAUCN090130000000003,2013-01,0.0
LAUCN090150000000003,2013-01,0.0
LAUCN150050000000003,2013-01,0.0
LAUCN551050000000003,2013-01,8.9
LAUCN551070000000003,2013-01,10.0
LAUCN551090000000003,2013-01,6.4
LAUCN551110000000003,2013-01,7.8
LAUCN551130000000003,2013-01,13.7
LAUCN551150000000003,2013-01,8.7
LAUCN551170000000003,2013-01,7.2
LAUCN560090000000003,2013-01,4.5
LAUCN551190000000003,2013-01,8.2
LAUCN551230000000003,2013-01,7.5
LAUCN551250000000003,2013-01,12.9
LAUCN551270000000003,2013-01,8.4
LAUCN551290000000003,2013-01,9.4
LAUCN551310000000003,2013-01,6.6
LAUCN551330000000003,2013-01,6.2
LAUCN551350000000003,2013-01,8.4
LAUCN551370000000003,2013-01,10.4
LAUCN551390000000003,2013-01,7.0
LAUCN551410000000003,2013-01,8.7
LAUCN560010000000003,2013-01,4.6
LAUCN560030000000003,2013-01,6.5
LAUCN560050000000003,2013-01,5.5
LAUCN551210000000003,2013-01,6.7
LAUCN720270000000003,2013-01,15.6
LAUCN720290000000003,2013-01,13.6
LAUCN720310000000003,2013-01,10.2
LAUCN720970000000003,2013-01,20.1
LAUCN720990000000003,2013-01,20.9
LAUCN721010000000003,2013-01,18.8
LAUCN721030000000003,2013-01,17.3
LAUCN721050000000003,2013-01,16.5
LAUCN721070000000003,2013-01,20.2
LAUCN721090000000003,2013-01,26.5
LAUCN721110000000003,2013-01,21.0
LAUCN721130000000003,2013-01,16.5
LAUCN721150000000003,2013-01,19.9
LAUCN721170000000003,2013-01,22.3
LAUCN721190000000003,2013-01,12.5
LAUCN721210000000003,2013-01,23.4
LAUCN720950000000003,2013-01,23.3
LAUCN721230000000003,2013-01,25.4
LAUCN721270000000003,2013-01,8.6
LAUCN721290000000003,2013-01,16.4
LAUCN721310000000003,2013-01,24.3
LAUCN721330000000003,2013-01,14.9
LAUCN721350000000003,2013-01,9.6
LAUCN721370000000003,2013-01,10.6
LAUCN721390000000003,2013-01,8.0
LAUCN721410000000003,2013-01,20.4
LAUCN721430000000003,2013-01,13.9
LAUCN721450000000003,2013-01,16.2
LAUCN721470000000003,2013-01,13.9
LAUCN721490000000003,2013-01,22.4
LAUCN721510000000003,2013-01,24.1
LAUCN721250000000003,2013-01,21.7
LAUCN720930000000003,2013-01,19.0
LAUCN720910000000003,2013-01,14.7
LAUCN720890000000003,2013-01,19.5
LAUCN720330000000003,2013-01,13.2
LAUCN720350000000003,2013-01,14.6
LAUCN720370000000003,2013-01,18.9
LAUCN720390000000003,2013-01,23.1
LAUCN720410000000003,2013-01,14.0
LAUCN720430000000003,2013-01,20.6
LAUCN720450000000003,2013-01,19.6
LAUCN720470000000003,2013-01,15.7
LAUCN720490000000003,2013-01,4.6
LAUCN720510000000003,2013-01,8.9
LAUCN720530000000003,2013-01,17.6
LAUCN720540000000003,2013-01,22.2
LAUCN720550000000003,2013-01,28.2
LAUCN720570000000003,2013-01,21.6
LAUCN720590000000003,2013-01,23.1
LAUCN720610000000003,2013-01,6.4
