geoID,name,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
" ""01001""","Autauga, AL",1510473,1569120,1729098,1806246,1762558,1826642,1814228,1841867,1954645,2318914,2452642
" ""01003""","Baldwin, AL",5776842,6034727,6492574,6983037,7382558,7935575,8558537,8770138,9847424,11097699,12071468
" ""01005""","Barbour, AL",812222,779299,765000,757473,761761,789103,793769,787697,868828,931174,926685
" ""01007""","Bibb, AL",373402,381354,377535,392287,406741,408791,465977,502089,530401,571231,610429
" ""01009""","Blount, AL",884069,928552,987510,925988,987967,1064218,1055980,973485,1162103,1266269,1261107
" ""01011""","Bullock, AL",230567,219838,218211,240527,244958,259251,274843,285870,295659,302093,336598
" ""01013""","Butler, AL",570775,584623,607347,598885,630225,666661,658166,634829,739464,827931,844597
" ""01015""","Calhoun, AL",4073416,4008257,4032124,4124669,4244400,4456595,4764311,4718287,5235064,5453593,5891059
" ""01017""","Chambers, AL",780345,785247,836391,864741,872734,921262,962142,924561,950573,1013433,1108813
" ""01019""","Cherokee, AL",535351,535539,555496,551657,558805,600426,594496,565209,666059,736332,745483
" ""01021""","Chilton, AL",888321,856050,913122,959362,983589,1055223,1161000,1145374,1257119,1410920,1554562
" ""01023""","Choctaw, AL",571104,566223,537646,528321,556183,618087,574354,568667,624392,770698,818813
" ""01025""","Clarke, AL",824887,811309,804532,814231,814115,870605,868409,905197,1001885,1072868,1134678
" ""01027""","Clay, AL",306433,321812,342253,362615,393577,470352,444152,458097,480937,517356,507971
" ""01029""","Cleburne, AL",281106,306940,315549,300130,302289,317240,295389,288257,367654,414452,411316
" ""01031""","Coffee, AL",1220474,1289575,1386171,1404522,1426217,1482319,1495700,1494459,1789481,2008726,2129264
" ""01033""","Colbert, AL",2660889,2637856,2611436,2496790,2453731,2651287,2672678,2628287,2884831,3270560,3476472
" ""01035""","Conecuh, AL",538759,469991,385344,422230,439777,434763,405167,359013,450860,506332,496736
" ""01037""","Coosa, AL",174004,165735,176243,187412,185492,198253,199764,192270,201743,233625,235363
" ""01039""","Covington, AL",1169496,1190625,1208373,1213970,1269561,1302093,1272720,1294696,1440567,1525637,1574615
" ""01041""","Crenshaw, AL",452201,427420,444037,408130,441726,476741,471897,385020,446398,525470,542565
" ""01043""","Cullman, AL",2530687,2569023,2772367,2753733,2827288,2896605,3033292,2988800,3399073,3875249,3967531
" ""01045""","Dale, AL",2837312,2731175,2832710,2799228,2834970,2847797,2943892,2953578,3202161,3386732,3699874
" ""01047""","Dallas, AL",1244048,1253912,1167071,1207339,1246698,1274867,1304322,1311987,1397756,1540586,1725255
" ""01049""","DeKalb, AL",1823980,1839816,1926540,1860899,1977689,2087188,2075245,2002071,2330098,2741812,2778526
" ""01051""","Elmore, AL",1741621,1752823,1813187,1897290,1950579,2033909,2113756,2112514,2312961,2474211,2703128
" ""01053""","Escambia, AL",1249727,1230996,1186996,1222165,1269744,1300103,1302248,1251734,1373519,1531645,1627046
" ""01055""","Etowah, AL",2808208,2852936,3024979,3086734,3095515,3191348,3200970,3030231,3262788,3527297,3776967
" ""01057""","Fayette, AL",395795,338501,351181,353679,344642,348902,360486,363545,399684,432967,453008
" ""01059""","Franklin, AL",924112,868068,891924,898322,968151,1046721,1021507,966173,1077493,1238398,1236685
" ""01061""","Geneva, AL",512581,517946,543399,554542,523521,544542,587720,594427,665488,740094,763232
" ""01063""","Greene, AL",287969,277627,248908,233719,218678,223263,240097,221598,223807,253489,280807
" ""01065""","Hale, AL",295506,291311,296894,307489,293104,274366,279000,296287,305206,318495,364210
" ""01067""","Henry, AL",358098,361261,388411,403721,422115,440075,459124,476045,545830,614304,633099
" ""01069""","Houston, AL",4471418,4688563,4870639,5179739,5410140,5573832,5843331,6042742,6690574,7230333,7703029
" ""01071""","Jackson, AL",1594105,1606493,1522414,1494316,1508968,1622445,1613239,1550803,1714676,1898397,2057095
" ""01073""","Jefferson, AL",40425469,41019726,41985290,43064960,44607663,46679111,48225067,48491643,53490269,58260973,61990780
" ""01075""","Lamar, AL",315976,322962,324022,332697,343759,352369,358387,359815,395196,425429,448833
" ""01077""","Lauderdale, AL",2551166,2521541,2556873,2569843,2651431,2716027,2778691,2840606,3134692,3444931,3736194
" ""01079""","Lawrence, AL",735626,648740,549357,500245,534109,572523,588446,611799,689202,800955,817562
" ""01081""","Lee, AL",4971512,5162758,5549989,5803297,6138724,6252206,6643673,6661911,7394950,7964355,8799349
" ""01083""","Limestone, AL",3245727,3365296,3485422,3599408,3782933,3842835,4313345,4407750,5316173,5978437,6494484
" ""01085""","Lowndes, AL",458034,458964,420131,428609,437070,433688,399499,393414,442312,497207,519259
" ""01087""","Macon, AL",508228,491978,476597,521803,550614,554043,566902,561268,592632,632088,682080
" ""01089""","Madison, AL",20483332,20861681,21665553,22588484,23737673,25219264,26926239,27870185,29855509,32716506,36321455
" ""01091""","Marengo, AL",683654,717478,702598,719712,722874,773500,804285,841282,918904,987252,1058127
" ""01093""","Marion, AL",815826,824399,859624,850620,870465,913213,914510,942612,1100557,1275480,1303389
" ""01095""","Marshall, AL",3033614,3003533,3258414,3286348,3469332,3616017,3745928,3765875,4190668,4658889,4896602
" ""01097""","Mobile, AL",18122359,18519469,18710279,19127805,19734787,20752659,21383376,21433585,24506837,26469764,28332816
" ""01099""","Monroe, AL",678133,668075,683663,691518,724511,719197,696797,681295,749547,797210,809448
" ""01101""","Montgomery, AL",12446787,12593544,13204812,13786112,14011331,14269732,14738873,14696032,15686474,16909375,18390810
" ""01103""","Morgan, AL",4750196,5028891,5141599,5347614,5556105,5818952,5882881,6047103,6718367,7560724,8023596
" ""01105""","Perry, AL",225444,202669,198012,204530,209961,207988,209787,213333,214412,221268,262033
" ""01107""","Pickens, AL",430980,443773,427938,419402,452493,453238,462869,467462,516743,525270,538386
" ""01109""","Pike, AL",1167110,1255782,1299497,1351382,1392115,1434204,1463097,1453362,1733416,1898433,1982236
" ""01111""","Randolph, AL",466530,486451,496650,475099,483214,503888,497015,492773,576453,637261,643574
" ""01113""","Russell, AL",1321849,1365126,1362205,1431526,1495039,1535131,1573873,1611190,1790893,2016377,2171720
" ""01115""","St. Clair, AL",1785914,1838572,1943143,1983312,2020338,2133098,2213746,2140772,2338247,2499014,2701537
" ""01117""","Shelby, AL",9243101,9758959,10670259,10998676,11639599,12169306,12774915,13016563,14377695,15707855,16447755
" ""01119""","Sumter, AL",347843,351547,327860,331168,324042,324656,329378,343651,361190,387573,431366
" ""01121""","Talladega, AL",2814956,2853523,2989469,3080507,3170439,3253853,3276186,3153323,3338773,3595130,3825674
" ""01123""","Tallapoosa, AL",1143581,1208072,1300212,1381612,1318572,1380205,1480820,1418726,1560492,1683919,1752891
" ""01125""","Tuscaloosa, AL",9439446,9259232,9219349,9469144,10228417,10711426,11311432,10554529,11556558,12917965,13584024
" ""01127""","Walker, AL",1790199,1860008,1878515,1946681,2005235,2069775,1918077,1810531,1912606,2212701,2315300
" ""01129""","Washington, AL",797726,870446,789031,832036,841373,869378,872646,865119,1022331,1160301,1220758
" ""01131""","Wilcox, AL",381853,379042,381666,410926,430526,467746,445461,408890,397419,411080,448587
" ""01133""","Winston, AL",689071,671624,691699,693067,719959,753106,820105,883019,1041712,1116091,1084214
" ""02013""","Aleutians East Borough, AK",140978,145177,222052,250218,312665,347292,314254,261702,305203,318095,365752
" ""02016""","Aleutians West Census Area, AK",389162,408860,429542,450554,795250,686484,785885,954525,939348,874447,1000609
" ""02020""","Anchorage Municipality, AK",21157643,21538191,22479108,22993398,23195622,23898283,24256250,23681886,25641548,28000450,30019193
" ""02050""","Bethel Census Area, AK",658825,671982,685818,694762,711083,749055,737112,729169,730177,766087,824739
" ""02060""","Bristol Bay Borough, AK",122377,127893,124414,133151,133015,146917,140690,133352,159140,168161,181696
" ""02063""","Chugach Census Area, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),1291960,1426984,1635885,1641291
" ""02066""","Copper River Census Area, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),108227,132650,143508,157225
" ""02068""","Denali Borough, AK",252371,264565,266921,262520,271161,281002,286602,214071,283943,341937,373256
" ""02070""","Dillingham Census Area, AK",244902,263863,264460,268518,276888,286004,275312,263920,265356,277809,315880
" ""02090""","Fairbanks North Star Borough, AK",5590528,5609629,5639118,5719167,5765988,5834518,5961120,5847708,6508091,6874732,7198784
" ""02100""","Haines Borough, AK",100017,100425,108084,107521,112647,121669,124943,95022,106836,113485,128674
" ""02105""","Hoonah-Angoon Census Area, AK*",84017,89059,91448,86204,88063,95536,95681,84114,94790,119173,136579
" ""02110""","Juneau City and Borough, AK",2372656,2389772,2331856,2363086,2511152,2530923,2532184,2461510,2768752,3006068,3098486
" ""02122""","Kenai Peninsula Borough, AK",2895967,3217133,2945555,2676262,2810764,2721015,2814964,2752203,3030486,3352170,3468878
" ""02130""","Ketchikan Gateway Borough, AK*",881019,886865,927508,917197,924927,949261,1003062,870211,948519,1031524,1101967
" ""02150""","Kodiak Island Borough, AK",787999,819354,812935,776996,820003,819182,833929,825023,847264,933912,1009981
" ""02158""","Kusilvak Census Area, AK*",139027,154696,150647,158973,153416,162817,168003,166818,168655,177941,180304
" ""02164""","Lake and Peninsula Borough, AK",83331,86245,88559,84521,90141,102181,91333,83702,114260,99764,111245
" ""02170""","Matanuska-Susitna Borough, AK",2363367,2530914,2617716,2733419,2647075,2769885,2991189,3139496,3427605,3732968,4046188
" ""02180""","Nome Census Area, AK",400474,425807,433652,408229,447593,463910,465113,453914,473643,532163,562119
" ""02185""","North Slope Borough, AK",14150331,12080436,6377500,5369572,6669857,6846658,5653402,4117616,7404016,10349374,8559061
" ""02188""","Northwest Arctic Borough, AK",597609,605792,514513,524411,638056,644852,620062,661139,727357,805190,807211
" ""02195""","Petersburg Borough, AK*",184621,185146,186504,173865,170550,181542,181947,177785,194618,188668,209686
" ""02198""","Prince of Wales-Hyder Census Area, AK*",235753,242567,223077,223885,241824,265621,269946,258024,272699,297013,306336
" ""02201""","Prince of Wales-Outer Ketchikan Census Area, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
" ""02220""","Sitka City and Borough, AK",524352,523368,520554,484813,479694,511699,523008,473690,564108,612414,677909
" ""02230""","Skagway Municipality, AK*",91977,89003,83524,88194,93466,99553,103491,66167,78209,91005,102620
" ""02232""","Skagway-Hoonah-Angoon Census Area, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
" ""02240""","Southeast Fairbanks Census Area, AK",614719,592628,518236,551516,647536,624189,580963,665404,871700,927824,935882
" ""02261""","Valdez-Cordova Census Area, AK*",2043229,2151858,2153341,2217351,2138740,2182658,2304803,(NA),(NA),(NA),(NA)
" ""02275""","Wrangell City and Borough, AK*",88706,94564,93302,96767,94295,101069,93345,89878,92795,101150,116114
" ""02280""","Wrangell-Petersburg Census Area, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
" ""02282""","Yakutat City and Borough, AK*",41944,41256,35661,29377,27126,29992,33439,35905,42199,45347,44606
" ""02290""","Yukon-Koyukuk Census Area, AK",295059,250333,248575,277383,282318,308186,307529,319303,322585,353603,373764
" ""04001""","Apache, AZ",2662103,2523196,2524512,2545019,2640484,2752407,2526553,2567397,2700885,2808268,2770542
" ""04003""","Cochise, AZ",4327762,4268104,4439351,4583630,4585054,4703080,4885687,5348746,5458610,5860392,6080882
" ""04005""","Coconino, AZ",6660319,6711052,7008745,7124979,7898455,8077292,8014911,7533522,8431454,9108700,9967529
" ""04007""","Gila, AZ",1935287,1800891,1639879,1522961,1690566,1713503,1712477,1828681,2165447,2238954,2267153
