name,estimate,geoID
"Autauga County, Alabama",55639,01001
"Baldwin County, Alabama",218289,01003
"Barbour County, Alabama",25026,01005
"Bibb County, Alabama",22374,01007
"Blount County, Alabama",57755,01009
"Bullock County, Alabama",10173,01011
"Butler County, Alabama",19726,01013
"Calhoun County, Alabama",114324,01015
"Chambers County, Alabama",33427,01017
"Cherokee County, Alabama",26035,01019
"Chilton County, Alabama",44147,01021
"Choctaw County, Alabama",12755,01023
"Clarke County, Alabama",23866,01025
"Clay County, Alabama",13285,01027
"Cleburne County, Alabama",14952,01029
"Coffee County, Alabama",52238,01031
"Colbert County, Alabama",54957,01033
"Conecuh County, Alabama",12219,01035
"Coosa County, Alabama",10696,01037
"Covington County, Alabama",37096,01039
"Crenshaw County, Alabama",13826,01041
"Cullman County, Alabama",83345,01043
"Dale County, Alabama",49293,01045
"Dallas County, Alabama",38184,01047
"DeKalb County, Alabama",71430,01049
"Elmore County, Alabama",81526,01051
"Escambia County, Alabama",36775,01053
"Etowah County, Alabama",102721,01055
"Fayette County, Alabama",16406,01057
"Franklin County, Alabama",31587,01059
"Geneva County, Alabama",26383,01061
"Greene County, Alabama",8221,01063
"Hale County, Alabama",14754,01065
"Henry County, Alabama",17123,01067
"Houston County, Alabama",105319,01069
"Jackson County, Alabama",51765,01071
"Jefferson County, Alabama",658615,01073
"Lamar County, Alabama",13854,01075
"Lauderdale County, Alabama",92870,01077
"Lawrence County, Alabama",32969,01079
"Lee County, Alabama",163461,01081
"Limestone County, Alabama",96921,01083
"Lowndes County, Alabama",9936,01085
"Macon County, Alabama",18437,01087
"Madison County, Alabama",367686,01089
"Marengo County, Alabama",19138,01091
"Marion County, Alabama",29818,01093
"Marshall County, Alabama",96137,01095
"Mobile County, Alabama",413977,01097
"Monroe County, Alabama",21006,01099
"Montgomery County, Alabama",226451,01101
"Morgan County, Alabama",119352,01103
"Perry County, Alabama",9104,01105
"Pickens County, Alabama",20049,01107
"Pike County, Alabama",33274,01109
"Randolph County, Alabama",22732,01111
"Russell County, Alabama",57938,01113
"St. Clair County, Alabama",88929,01115
"Shelby County, Alabama",216350,01117
"Sumter County, Alabama",12595,01119
"Talladega County, Alabama",80244,01121
"Tallapoosa County, Alabama",40450,01123
