name,estimate,geoID
"Autauga County, Alabama",22523,01001
"Baldwin County, Alabama",94642,01003
"Barbour County, Alabama",9080,01005
"Bibb County, Alabama",7571,01007
"Blount County, Alabama",21977,01009
"Bullock County, Alabama",3453,01011
"Butler County, Alabama",7262,01013
"Calhoun County, Alabama",45125,01015
"Chambers County, Alabama",13419,01017
"Cherokee County, Alabama",10477,01019
"Chilton County, Alabama",17554,01021
"Choctaw County, Alabama",5174,01023
"Clarke County, Alabama",8452,01025
"Clay County, Alabama",5765,01027
"Cleburne County, Alabama",5849,01029
"Coffee County, Alabama",20860,01031
"Colbert County, Alabama",24217,01033
"Conecuh County, Alabama",4528,01035
"Coosa County, Alabama",4201,01037
"Covington County, Alabama",14495,01039
"Crenshaw County, Alabama",5075,01041
"Cullman County, Alabama",34543,01043
"Dale County, Alabama",19769,01045
"Dallas County, Alabama",15416,01047
"DeKalb County, Alabama",25946,01049
"Elmore County, Alabama",32529,01051
"Escambia County, Alabama",12781,01053
"Etowah County, Alabama",39160,01055
"Fayette County, Alabama",6051,01057
"Franklin County, Alabama",11593,01059
"Geneva County, Alabama",10550,01061
"Greene County, Alabama",3037,01063
"Hale County, Alabama",5541,01065
"Henry County, Alabama",6684,01067
"Houston County, Alabama",42581,01069
"Jackson County, Alabama",21186,01071
"Jefferson County, Alabama",268911,01073
"Lamar County, Alabama",4987,01075
"Lauderdale County, Alabama",38777,01077
"Lawrence County, Alabama",13145,01079
"Lee County, Alabama",67944,01081
"Limestone County, Alabama",40021,01083
"Lowndes County, Alabama",4161,01085
"Macon County, Alabama",7151,01087
"Madison County, Alabama",162469,01089
"Marengo County, Alabama",7615,01091
"Marion County, Alabama",10874,01093
"Marshall County, Alabama",35963,01095
"Mobile County, Alabama",160507,01097
"Monroe County, Alabama",7396,01099
"Montgomery County, Alabama",90785,01101
"Morgan County, Alabama",48752,01103
"Perry County, Alabama",3195,01105
"Pickens County, Alabama",6946,01107
"Pike County, Alabama",12605,01109
"Randolph County, Alabama",9127,01111
"Russell County, Alabama",23784,01113
"St. Clair County, Alabama",34477,01115
"Shelby County, Alabama",85414,01117
"Sumter County, Alabama",4765,01119
"Talladega County, Alabama",32889,01121
"Tallapoosa County, Alabama",16548,01123
"Tuscaloosa County, Alabama",87289,01125
"Walker County, Alabama",24843,01127
"Washington County, Alabama",5678,01129
"Wilcox County, Alabama",3693,01131
"Winston County, Alabama",9328,01133
"Aleutians East Borough, Alaska",998,02013
"Aleutians West Census Area, Alaska",977,02016
"Anchorage Municipality, Alaska",107868,02020
"Bethel Census Area, Alaska",4661,02050
"Bristol Bay Borough, Alaska",283,02060
"Chugach Census Area, Alaska",2679,02063
"Copper River Census Area, Alaska",1146,02066
"Denali Borough, Alaska",533,02068
"Dillingham Census Area, Alaska",1383,02070
"Fairbanks North Star Borough, Alaska",36176,02090
"Haines Borough, Alaska",899,02100
"Hoonah-Angoon Census Area, Alaska",922,02105
"Juneau City and Borough, Alaska",13138,02110
"Kenai Peninsula Borough, Alaska",23902,02122
"Ketchikan Gateway Borough, Alaska",5621,02130
"Kodiak Island Borough, Alaska",4608,02150
"Kusilvak Census Area, Alaska",1891,02158
"Lake and Peninsula Borough, Alaska",322,02164
"Matanuska-Susitna Borough, Alaska",39682,02170
"Nome Census Area, Alaska",2786,02180
"North Slope Borough, Alaska",2205,02185
"Northwest Arctic Borough, Alaska",1817,02188
"Petersburg Borough, Alaska",1319,02195
"Prince of Wales-Hyder Census Area, Alaska",2348,02198
"Sitka City and Borough, Alaska",3503,02220
"Skagway Municipality, Alaska",451,02230
"Southeast Fairbanks Census Area, Alaska",2311,02240
"Wrangell City and Borough, Alaska",912,02275
"Yakutat City and Borough, Alaska",207,02282
"Yukon-Koyukuk Census Area, Alaska",2317,02290
"Apache County, Arizona",20439,04001
"Cochise County, Arizona",50476,04003
"Coconino County, Arizona",53642,04005
"Gila County, Arizona",23253,04007
"Graham County, Arizona",12460,04009
"Greenlee County, Arizona",3444,04011
"La Paz County, Arizona",8887,04012
"Maricopa County, Arizona",1697342,04013
"Mohave County, Arizona",96899,04015
"Navajo County, Arizona",39171,04017
"Pima County, Arizona",430965,04019
"Pinal County, Arizona",157193,04021
"Santa Cruz County, Arizona",16816,04023
"Yavapai County, Arizona",108900,04025
"Yuma County, Arizona",76903,04027
