geoID,name,total_area,3g_st_pct,4g_st_pct,5g_spd1_st_pct,5g_spd2_st_pct
01001,"Autauga, AL",1579.9875,0.0,0.9954,0.8271,0.5996
01003,"Baldwin, AL",5165.7165,0.0,0.9249,0.689,0.5556
01005,"Barbour, AL",2407.0583,0.0,0.9513,0.332,0.1886
01007,"Bibb, AL",1630.2311,0.0,0.9665,0.4569,0.2634
01009,"Blount, AL",1720.1851,0.0,0.9991,0.9378,0.6752
01011,"Bullock, AL",1655.6162,0.0,0.9915,0.1386,0.0697
01013,"Butler, AL",2025.544,0.0,0.8261,0.5199,0.3793
01015,"Calhoun, AL",1635.2871,0.0,0.9798,0.8385,0.715
01017,"Chambers, AL",1613.5886,0.0,0.9623,0.3609,0.2238
01019,"Cherokee, AL",1613.5886,0.0,0.9972,0.6518,0.4683
01021,"Chilton, AL",1835.5241,0.0,0.9788,0.5108,0.3204
01023,"Choctaw, AL",2344.0695,0.0,1.0,0.2334,0.1221
01025,"Clarke, AL",3203.056,0.0,0.6968,0.2707,0.1945
01027,"Clay, AL",1612.2192,0.0,0.9206,0.3851,0.2453
01029,"Cleburne, AL",1506.1494,0.0,0.8659,0.4658,0.3323
01031,"Coffee, AL",1788.4405,0.0,0.9822,0.5386,0.3433
01033,"Colbert, AL",1626.3338,0.0,0.9568,0.6783,0.5266
01035,"Conecuh, AL",2205.9785,0.0,0.8907,0.3751,0.2488
01037,"Coosa, AL",1757.8941,0.0,0.9554,0.3163,0.1659
01039,"Covington, AL",2721.2651,0.0,0.961,0.5152,0.3479
01041,"Crenshaw, AL",1600.0007,0.0,0.863,0.5007,0.3762
01043,"Cullman, AL",1989.3096,0.0,0.998,0.9689,0.6117
01045,"Dale, AL",1488.3482,0.0,0.9897,0.7194,0.4902
01047,"Dallas, AL",2578.1183,0.0,0.9999,0.433,0.2554
01049,"DeKalb, AL",2090.0075,0.0,0.9939,0.8214,0.6217
01051,"Elmore, AL",1733.5623,0.0,0.9968,0.8964,0.7559
01053,"Escambia, AL",2455.8272,0.0,0.914,0.595,0.397
01055,"Etowah, AL",1463.9111,0.0,0.9875,0.842,0.7023
01057,"Fayette, AL",1631.0738,0.0,0.9354,0.492,0.3113
01059,"Franklin, AL",1681.7387,0.0,0.9619,0.7547,0.5189
01061,"Geneva, AL",1523.3186,0.0,0.9988,0.6361,0.4448
01063,"Greene, AL",1695.8533,0.0,0.9706,0.4384,0.3083
01065,"Hale, AL",1693.9573,0.0,0.9694,0.5492,0.3633
01067,"Henry, AL",1513.944,0.0,0.9736,0.4531,0.2801
01069,"Houston, AL",1544.5958,0.0,0.9956,0.8541,0.6869
01071,"Jackson, AL",3023.2534,0.0,0.8022,0.5062,0.3844
01073,"Jefferson, AL",2947.9407,0.0,0.9977,0.9355,0.8518
01075,"Lamar, AL",1561.6596,0.0,0.9451,0.4905,0.3388
01077,"Lauderdale, AL",1885.3464,0.0,0.9659,0.8428,0.6907
01079,"Lawrence, AL",1881.9758,0.0,0.851,0.7359,0.5683
01081,"Lee, AL",1646.5576,0.0,0.9959,0.8373,0.6631
01083,"Limestone, AL",1604.214,0.0,0.9787,0.9001,0.7957
01085,"Lowndes, AL",1892.7197,0.0,0.9483,0.3887,0.218
01087,"Macon, AL",1628.2298,0.0,0.9786,0.4349,0.2544
01089,"Madison, AL",2162.6869,0.0,0.972,0.8819,0.8126
01091,"Marengo, AL",2522.1867,0.0,0.9997,0.4098,0.2469
01093,"Marion, AL",1929.1647,0.0,0.962,0.7226,0.4987
01095,"Marshall, AL",1657.7229,0.0,0.9886,0.8323,0.6226
01097,"Mobile, AL",4161.8977,0.0,0.9686,0.8038,0.6848
01099,"Monroe, AL",2663.0163,0.0,0.7577,0.2949,0.1999
01101,"Montgomery, AL",2104.122,0.0,0.9944,0.8225,0.6534
01103,"Morgan, AL",1582.1995,0.0,0.987,0.8668,0.6993
01105,"Perry, AL",1876.4985,0.0,0.9999,0.217,0.0987
01107,"Pickens, AL",2289.1912,0.0,0.9492,0.4165,0.2846
01109,"Pike, AL",1774.326,0.0,0.9756,0.546,0.3837
01111,"Randolph, AL",1564.5036,0.0,0.9542,0.3704,0.2736
01113,"Russell, AL",1731.877,0.0,0.9985,0.8301,0.5454
01115,"St. Clair, AL",1730.929,0.0,0.997,0.8246,0.6638
01117,"Shelby, AL",2126.6632,0.0,0.9982,0.9168,0.7988
01119,"Sumter, AL",2334.2735,0.0,0.9415,0.4427,0.3143
01121,"Talladega, AL",2013.4307,0.0,0.9982,0.8118,0.6259
01123,"Tallapoosa, AL",2035.4452,0.0,0.9813,0.4398,0.2685
01125,"Tuscaloosa, AL",3503.7803,0.0,0.9366,0.6323,0.4806
01127,"Walker, AL",2102.1207,0.0,0.9938,0.8265,0.5811
01129,"Washington, AL",2763.8195,0.0,0.7366,0.4222,0.294
01131,"Wilcox, AL",2342.3841,0.0,0.9999,0.1593,0.0822
01133,"Winston, AL",1651.9296,0.0,0.8938,0.6851,0.4226
02013,"Aleutians East Borough, AK",46270.1446,0.0002,0.0077,0.0,0.0
02016,"Aleutians West Census Area, AK",37603.9132,0.0147,0.0124,0.0087,0.0084
02020,"Anchorage Municipality, AK",5739.5679,0.3022,0.5031,0.3054,0.1795
02050,"Bethel Census Area, AK",126201.2909,0.226,0.0104,0.0,0.0
02060,"Bristol Bay Borough, AK",2506.4922,0.8144,0.4918,0.0,0.0
02063,"Chugach Census Area, AK",46165.0228,0.0074,0.2638,0.011,0.0084
02066,"Copper River Census Area, AK",75680.3479,0.0291,0.2047,0.0266,0.0196
02068,"Denali Borough, AK",35291.1275,0.0599,0.0826,0.0285,0.0163
02070,"Dillingham Census Area, AK",59132.5068,0.101,0.0371,0.0,0.0
02090,"Fairbanks North Star Borough, AK",20695.9403,0.2304,0.331,0.1929,0.1189
02100,"Haines Borough, AK",8613.8812,0.035,0.1435,0.0147,0.0128
02105,"Hoonah-Angoon Census Area, AK",30433.0872,0.0191,0.2095,0.0828,0.0727
02110,"Juneau City and Borough, AK",10139.0958,0.1255,0.1084,0.0445,0.0311
02122,"Kenai Peninsula Borough, AK",73365.2449,0.1228,0.1683,0.0418,0.024
02130,"Ketchikan Gateway Borough, AK",20741.1279,0.0631,0.0711,0.0185,0.0127
02150,"Kodiak Island Borough, AK",37649.6275,0.0323,0.0516,0.0213,0.0175
02158,"Kusilvak Census Area, AK",52158.8633,0.3068,0.0,0.0,0.0
02164,"Lake and Peninsula Borough, AK",101565.9151,0.0144,0.0302,0.0,0.0
02170,"Matanuska-Susitna Borough, AK",72538.3848,0.0874,0.2271,0.0928,0.0464
02180,"Nome Census Area, AK",71716.4753,0.1019,0.0056,0.0012,0.0011
02185,"North Slope Borough, AK",237753.359,0.0428,0.056,0.0,0.0
02188,"Northwest Arctic Borough, AK",101821.7678,0.0878,0.0541,0.0039,0.0037
02195,"Petersburg Borough, AK",11940.1762,0.0924,0.1618,0.0,0.0
02198,"Prince of Wales-Hyder Census Area, AK",34900.1332,0.0271,0.1394,0.0025,0.0018
02220,"Sitka City and Borough, AK",15497.5707,0.1125,0.0999,0.0,0.0
02230,"Skagway Municipality, AK",1385.2277,0.0076,0.0641,0.0297,0.0252
02240,"Southeast Fairbanks Census Area, AK",72740.6232,0.0819,0.1467,0.0289,0.0199
02275,"Wrangell City and Borough, AK",10864.626,0.0661,0.0662,0.0,0.0
02282,"Yakutat City and Borough, AK",29471.1908,0.0,0.0208,0.0,0.0
02290,"Yukon-Koyukuk Census Area, AK",396170.7004,0.0086,0.0099,0.0038,0.0021
04001,"Apache, AZ",25459.9186,0.5683,0.7788,0.1144,0.0813
04003,"Cochise, AZ",13705.9702,0.0,0.8744,0.6326,0.5526
04005,"Coconino, AZ",42697.8982,0.4417,0.7115,0.244,0.1547
04007,"Gila, AZ",10740.9657,0.0641,0.5659,0.2324,0.1734
04009,"Graham, AZ",10309.8398,0.1023,0.6114,0.2672,0.15
04011,"Greenlee, AZ",4109.5475,0.0,0.4725,0.233,0.1294
04012,"La Paz, AZ",10192.2887,0.0085,0.8188,0.5868,0.4333
04013,"Maricopa, AZ",20676.5591,0.1301,0.8358,0.6501,0.5486
04015,"Mohave, AZ",30950.0591,0.0035,0.6763,0.3974,0.3545
04017,"Navajo, AZ",22621.1024,0.7042,0.7325,0.153,0.1112
04019,"Pima, AZ",20369.3042,0.2021,0.7971,0.3251,0.2726
04021,"Pinal, AZ",11966.2987,0.0171,0.9043,0.6835,0.6207
04023,"Santa Cruz, AZ",2726.1104,0.0,0.7943,0.647,0.4904
04025,"Yavapai, AZ",18409.277,0.1037,0.7719,0.4883,0.338
04027,"Yuma, AZ",12372.6714,0.0021,0.6176,0.362,0.2486
05001,"Arkansas, AR",2575.0636,0.0,0.8578,0.5835,0.4541
05003,"Ashley, AR",2302.8844,0.0,0.883,0.5664,0.3329
05005,"Baxter, AR",1464.0164,0.0,0.8196,0.5984,0.4309
05007,"Benton, AR",2164.6882,0.0,0.9964,0.9497,0.8082
05009,"Boone, AR",1491.0869,0.0,0.9122,0.6396,0.4722
05011,"Bradley, AR",1592.8381,0.0,0.8896,0.4448,0.2753
05013,"Calhoun, AR",1540.8038,0.0,0.8381,0.3615,0.2348
05015,"Carroll, AR",1574.6155,0.0,0.9392,0.7108,0.5162
05017,"Chicot, AR",1702.9105,0.0,0.9764,0.84,0.6437
05019,"Clark, AR",2141.4097,0.0,0.8009,0.4276,0.2233
05021,"Clay, AR",1638.763,0.0,0.9957,0.7947,0.5499
05023,"Cleburne, AR",1472.6537,0.0,0.8974,0.7908,0.448
05025,"Cleveland, AR",1466.0177,0.0,0.9207,0.3128,0.1963
05027,"Columbia, AR",1847.5321,0.0,0.8304,0.4128,0.2745
05029,"Conway, AR",1395.3396,0.0,0.9532,0.6795,0.4767
05031,"Craighead, AR",1807.7164,0.0,0.9998,0.9533,0.806
05033,"Crawford, AR",1472.5484,0.0,0.8451,0.7361,0.5575
05035,"Crittenden, AR",1631.2844,0.0,0.9851,0.9079,0.7588
05037,"Cross, AR",1567.6636,0.0,0.982,0.8445,0.5956
05039,"Dallas, AR",1628.4405,0.0,0.8558,0.388,0.2491
05041,"Desha, AR",2011.9561,0.0,0.8129,0.5592,0.4293
05043,"Drew, AR",2053.6678,0.0,0.8816,0.6038,0.3088
05045,"Faulkner, AR",1640.2377,0.0,0.9936,0.9172,0.6756
05047,"Franklin, AR",1512.1534,0.0,0.843,0.7118,0.4868
05049,"Fulton, AR",1559.553,0.0,0.9069,0.5756,0.3866
05051,"Garland, AR",1789.9152,0.0,0.8682,0.6872,0.5306
05053,"Grant, AR",1550.8104,0.0,0.9655,0.5606,0.2805
05055,"Greene, AR",1474.5497,0.0,0.9996,0.96,0.6793
05057,"Hempstead, AR",1783.5952,0.0,0.983,0.5959,0.3705
05059,"Hot Spring, AR",1514.892,0.0,0.9226,0.6386,0.3888
