geoID,name,tax_rate
01001,"Autauga County, Alabama",0.00285
01003,"Baldwin County, Alabama",0.00307
01005,"Barbour County, Alabama",0.003776
01007,"Bibb County, Alabama",0.002044
01009,"Blount County, Alabama",0.002994
01011,"Bullock County, Alabama",0.003892
01013,"Butler County, Alabama",0.00343
01015,"Calhoun County, Alabama",0.00408
01017,"Chambers County, Alabama",0.003824
01019,"Cherokee County, Alabama",0.003876
01021,"Chilton County, Alabama",0.003359
01023,"Choctaw County, Alabama",0.00178
01025,"Clarke County, Alabama",0.00307
01027,"Clay County, Alabama",0.002253
01029,"Cleburne County, Alabama",0.002892
01031,"Coffee County, Alabama",0.003411
01033,"Colbert County, Alabama",0.003738
01035,"Conecuh County, Alabama",0.003238
01037,"Coosa County, Alabama",0.00271
01039,"Covington County, Alabama",0.002512
01041,"Crenshaw County, Alabama",0.003201
01043,"Cullman County, Alabama",0.002532
01045,"Dale County, Alabama",0.0033
01047,"Dallas County, Alabama",0.00424
01049,"DeKalb County, Alabama",0.00338
01051,"Elmore County, Alabama",0.002636
01053,"Escambia County, Alabama",0.003953
01055,"Etowah County, Alabama",0.003643
01057,"Fayette County, Alabama",0.002863
01059,"Franklin County, Alabama",0.003375
01061,"Geneva County, Alabama",0.003178
01063,"Greene County, Alabama",0.004884
01065,"Hale County, Alabama",0.003215
01067,"Henry County, Alabama",0.003424
01069,"Houston County, Alabama",0.003
01071,"Jackson County, Alabama",0.00308
01073,"Jefferson County, Alabama",0.005958
01075,"Lamar County, Alabama",0.002174
01077,"Lauderdale County, Alabama",0.003751
01079,"Lawrence County, Alabama",0.003046
01081,"Lee County, Alabama",0.004956
01083,"Limestone County, Alabama",0.003065
01085,"Lowndes County, Alabama",0.004082
01087,"Macon County, Alabama",0.00489
01089,"Madison County, Alabama",0.004037
01091,"Marengo County, Alabama",0.003839
01093,"Marion County, Alabama",0.002953
01095,"Marshall County, Alabama",0.003811
01097,"Mobile County, Alabama",0.004807
01099,"Monroe County, Alabama",0.003151
01101,"Montgomery County, Alabama",0.003735
01103,"Morgan County, Alabama",0.003492
01105,"Perry County, Alabama",0.003706
01107,"Pickens County, Alabama",0.002887
01109,"Pike County, Alabama",0.002705
01111,"Randolph County, Alabama",0.002239
01113,"Russell County, Alabama",0.004143
01115,"St. Clair County, Alabama",0.003048
01117,"Shelby County, Alabama",0.004496
01119,"Sumter County, Alabama",0.003532
01121,"Talladega County, Alabama",0.003691
01123,"Tallapoosa County, Alabama",0.003108
01125,"Tuscaloosa County, Alabama",0.003226
01127,"Walker County, Alabama",0.002723
01129,"Washington County, Alabama",0.002336
01131,"Wilcox County, Alabama",0.00367
01133,"Winston County, Alabama",0.003285
02013,"Aleutians East Borough, Alaska",
02016,"Aleutians West Census Area, Alaska",0.007084
02020,"Anchorage Municipality, Alaska",0.012942
02050,"Bethel Census Area, Alaska",
02060,"Bristol Bay Borough, Alaska",0.007165
02063,"Chugach Census Area, Alaska",0.009166
02066,"Copper River Census Area, Alaska",0.000807
02068,"Denali Borough, Alaska",
02070,"Dillingham Census Area, Alaska",0.017552
02090,"Fairbanks North Star Borough, Alaska",0.012637
02100,"Haines Borough, Alaska",0.008021
02105,"Hoonah-Angoon Census Area, Alaska",0.004165
02110,"Juneau City and Borough, Alaska",0.009339
02122,"Kenai Peninsula Borough, Alaska",0.006635
02130,"Ketchikan Gateway Borough, Alaska",0.006828
02150,"Kodiak Island Borough, Alaska",0.009169
02158,"Kusilvak Census Area, Alaska",0.002737
